pff_PLAYERNAME,Season,TotalBoxPM,TotalPassBoxPM,TotalRunBoxPM,PassPM,PassBoxPM,RunPM,RunBoxPM,PlayerID,Position,PlayerName,team,position,TotalEPAR,PassEPAR,RunEPAR,plays
Andrew Hawkins,2016,5.6906868400000015,-8.358985259999999,14.0496721,-0.0091346689826466,-0.01763499,0.07563511710783721,0.08264513,34226,WR,Andrew Hawkins,CLV,WR,-2.045777683264715,-2.7358389427295644,0.6900612594648494,660
Tre'Quan Smith,2022,5.644903530000001,-6.6623388299999995,12.30724236,-0.03832362117330568,-0.03525047,0.02848188540564335,0.05805303,46160,WR,Tre'Quan Smith,NO,WR,0.7768409585277135,1.2106467167293395,-0.4338057582016266,455
JuJu Smith-Schuster,2019,5.602984889999999,-4.847298960000001,10.45028385,-0.06457465319478504,-0.01193916,0.0838904320883118,0.06257655,44874,WR,JuJu Smith-Schuster,PIT,WR,4.924962842231353,5.45430204537623,-0.5293392031448789,600
Adam Humphries,2017,5.577674550000001,-3.1738719599999996,8.75154651,0.00380633746846382,-0.00597716,0.06578953145412353,0.05953433,43010,WR,Adam Humphries,TB,WR,10.954942348775802,11.194026967069988,-0.23908461829418629,721
Taylor Gabriel,2019,5.50513738,-5.33693483,10.84207221,-0.02186729042729691,-0.01705091,0.05996890276729134,0.08276391,42016,WR,Taylor Gabriel,CHI,WR,-1.4152204020134969,-2.1595169579430915,0.7442965559295948,442
Greg Dortch,2022,5.42235947,-1.38797406,6.81033353,-0.00449289287482812,-0.00382362,0.05413955787758284,0.04762471,48646,WR,Greg Dortch,ARZ,WR,12.738281371555843,11.525462686319484,1.212818685236357,634
Kendrick Bourne,2022,5.38950926,-3.3739532,8.76346246,-0.0259471533706595,-0.01088372,0.0747736799174387,0.06689666,45185,WR,Kendrick Bourne,NE,WR,6.6259341698623455,6.161251390069053,0.464682779793293,448
Steve Smith,2015,5.34275688,2.95270176,2.39005512,0.01658612523133388,0.01185824,0.0052489264219593,0.02597886,26294,WR,Steve Smith,BLT,WR,34.083436792202406,32.2464628320906,1.8369739601118038,384
Denzel Mims,2020,5.327790040000001,-4.12120896,9.448999,0.00137938590809765,-0.01561064,0.03569299104475523,0.05399428,52467,WR,Denzel Mims,NYJ,WR,-0.6706029282840102,-0.33158067334231234,-0.33902225494169785,434
Keke Coutee,2020,5.25314864,3.626203,1.62694564,0.01737573064734091,0.0157661,0.01128545152356188,0.02667124,46172,WR,Keke Coutee,HST,WR,4.19846361063561,4.503333251985423,-0.3048696413498127,288
Braxton Berrios,2020,5.236622479999999,2.17888824,3.05773424,-0.05097042146405247,0.01084024,0.0472434029825954,0.03474698,46279,WR,Braxton Berrios,NYJ,WR,13.037473849490741,12.460907988261855,0.5765658612288862,286
DeSean Jackson,2015,5.232534,1.6433330000000002,3.589201,0.00737736927760672,0.0054415,-0.0069171859987123404,0.0326291,33130,WR,DeSean Jackson,WAS,WR,9.65508295486926,10.019320633225963,-0.3642376783567029,407
Rondale Moore,2022,5.22252672,-5.325276,10.54780272,-0.04394094093797355,-0.01775092,0.0786861889199882,0.06761412,53478,WR,Rondale Moore,ARZ,WR,11.404795478970442,11.635584055325559,-0.23078857635511563,447
Hunter Renfrow,2020,5.21126101,0.17538136,5.03587965,0.01051204486153931,4.3736e-4,0.01036981225595639,0.03379785,47932,WR,Hunter Renfrow,LV,WR,23.343753618811323,23.589374383299532,-0.24562076448820933,542
Skyy Moore,2022,5.204053439999999,-2.40502976,7.6090832,-0.02682348126337642,-0.01073674,0.05045368062745781,0.04755677,54519,WR,Skyy Moore,KC,WR,8.423854262478077,8.49823440465151,-0.07438014217343279,433
Sammy Watkins,2022,5.194524349999999,-1.70331237,6.897836719999999,-0.00247373575700598,-0.00712683,0.01626554180295999,0.04205998,41230,WR,Sammy Watkins,GB,WR,-2.2299857272628105,-2.493611229990693,0.2636255027278824,398
Chris Godwin,2017,5.183848139999999,1.00979686,4.17405128,0.00726929195254446,0.00368539,0.04887306526876972,0.02426774,44896,WR,Chris Godwin,TB,WR,15.334340199143133,14.208264128655852,1.1260760704872814,534
Laviska Shenault Jr.,2020,5.18224325,0.79501948,4.38722377,0.01289551076000966,0.00196787,0.0665083384031323,0.02450963,52450,WR,Laviska Shenault Jr.,JAX,WR,10.409088881756471,10.393383338780026,0.01570554297644443,577
Gunner Olszewski,2022,5.076216049999999,-3.60769709,8.68391314,-0.02718094606435093,-0.04346623,0.07079649250622436,0.06529258,48988,WR,Gunner Olszewski,PIT,WR,-0.24229413851915718,0.2713069911760599,-0.513601129695217,304
